Timestamp_Unix,Fecha_Hora,ID_Nodo,Temp_Sonda_C,Hum_Tierra_Pct,Temp_Amb_C,Hum_Amb_Pct,Raw_Sonda,Raw_Tierra,Raw_AmbT,Raw_AmbH,Paquete_Num
1778369608,2026-05-09 23:33:28,1,19.0,82.29,18.22,29.7,328,735,456,338,1
1778369908,2026-05-09 23:38:28,1,19.0,81.56,18.09,30.59,329,732,456,342,2
1778370208,2026-05-09 23:43:28,1,19.0,83.29,17.78,31.81,332,743,453,349,3
1778370508,2026-05-09 23:48:28,1,19.0,82.77,18.14,29.06,328,740,456,332,4
1778370808,2026-05-09 23:53:28,1,19.0,82.98,17.78,33.33,329,740,451,362,5
1778371108,2026-05-09 23:58:28,1,19.0,81.24,17.5,33.3,329,730,449,361,6
1778371408,2026-05-10 00:03:28,1,19.0,81.76,17.66,31.15,328,732,453,346,7
1778371708,2026-05-10 00:08:28,1,19.0,83.05,17.84,32.96,330,743,452,358,8
1778372008,2026-05-10 00:13:28,1,19.0,83.3,18.12,33.57,324,744,458,364,9
1778372308,2026-05-10 00:18:28,1,19.0,82.86,18.38,33.08,327,742,456,357,10
1778372608,2026-05-10 00:23:28,1,19.0,82.66,18.08,33.91,329,740,454,362,11
1778372908,2026-05-10 00:28:28,1,19.0,83.18,17.73,33.61,328,740,452,359,12
1778373208,2026-05-10 00:33:28,1,19.0,83.63,18.09,33.77,330,749,455,363,13
1778373508,2026-05-10 00:38:28,1,19.0,81.71,18.58,31.97,325,734,458,351,14
1778373808,2026-05-10 00:43:28,1,19.0,82.3,18.29,37.61,328,738,457,384,15
1778374108,2026-05-10 00:48:28,1,19.0,84.26,17.87,35.15,329,751,454,371,16
1778374408,2026-05-10 00:53:28,1,19.0,82.49,18.69,37.17,329,739,457,379,17
1778374708,2026-05-10 00:58:28,1,19.0,83.57,18.5,36.84,329,749,455,382,18
1778375008,2026-05-10 01:03:28,1,19.0,83.47,18.85,37.29,328,744,462,385,19
1778375308,2026-05-10 01:08:28,1,19.0,83.18,17.91,37.21,328,743,453,381,20
1778375608,2026-05-10 01:13:28,1,19.0,83.22,18.64,34.2,328,743,459,365,21
1778375908,2026-05-10 01:18:28,1,19.0,83.87,18.1,38.06,329,747,454,386,22
1778376208,2026-05-10 01:23:28,1,19.0,84.37,18.31,41.15,328,755,455,406,23
1778376508,2026-05-10 01:28:28,1,19.0,84.52,18.48,37.59,327,755,457,384,24
1778376808,2026-05-10 01:33:28,1,19.0,83.38,18.15,36.77,328,745,458,378,25
1778377108,2026-05-10 01:38:28,1,19.0,83.49,19.07,39.0,327,746,460,395,26
1778377408,2026-05-10 01:43:28,1,19.0,84.41,18.61,38.04,327,754,457,385,27
1778377708,2026-05-10 01:48:28,1,19.0,83.36,18.67,40.7,328,745,458,404,28
1778378008,2026-05-10 01:53:28,1,19.0,84.14,18.1,40.71,327,754,453,404,29
1778378308,2026-05-10 01:58:28,1,19.0,84.05,19.04,38.64,330,753,461,391,30
1778378608,2026-05-10 02:03:28,1,19.0,84.53,18.81,38.45,327,752,460,388,31
1778378908,2026-05-10 02:08:28,1,19.0,85.51,19.01,37.61,327,764,461,383,32
1778379208,2026-05-10 02:13:28,1,19.0,83.96,18.39,40.37,329,752,456,402,33
1778379508,2026-05-10 02:18:28,1,19.0,85.43,18.53,39.52,327,760,458,398,34
1778379808,2026-05-10 02:23:28,1,19.0,85.43,18.76,42.76,329,757,461,415,35
1778380108,2026-05-10 02:28:28,1,19.0,84.29,18.8,40.33,330,752,460,403,36
1778380408,2026-05-10 02:33:28,1,19.0,83.51,18.25,42.99,328,750,456,417,37
1778380708,2026-05-10 02:38:28,1,19.0,84.57,18.97,38.98,328,753,460,392,38
1778381008,2026-05-10 02:43:28,1,19.0,84.3,19.2,41.16,328,752,461,406,39
1778381308,2026-05-10 02:48:28,1,19.0,84.88,19.07,40.44,327,752,463,402,40
1778381608,2026-05-10 02:53:28,1,19.0,83.87,19.18,42.19,326,749,462,411,41
1778381908,2026-05-10 02:58:28,1,19.0,84.43,18.78,40.83,328,751,459,405,42
1778382208,2026-05-10 03:03:28,1,19.0,84.98,18.95,42.39,329,758,461,413,43
1778382508,2026-05-10 03:08:28,1,19.0,83.19,19.97,42.2,326,744,468,413,44
1778382808,2026-05-10 03:13:28,1,19.0,83.51,19.42,40.56,329,747,462,402,45
1778383108,2026-05-10 03:18:28,1,19.0,84.27,18.98,39.21,325,751,463,396,46
1778383408,2026-05-10 03:23:28,1,19.0,84.14,20.22,43.36,330,747,470,418,47
